Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,17 Mar 2019,Valtteri  Bottas  BOT,Mercedes,58,1:25:27.325,
,Bahrain,31 Mar 2019,Lewis  Hamilton  HAM,Mercedes,57,1:34:21.295,
,China,14 Apr 2019,Lewis  Hamilton  HAM,Mercedes,56,1:32:06.350,
,Azerbaijan,28 Apr 2019,Valtteri  Bottas  BOT,Mercedes,51,1:31:52.942,
,Spain,12 May 2019,Lewis  Hamilton  HAM,Mercedes,66,1:35:50.443,
,Monaco,26 May 2019,Lewis  Hamilton  HAM,Mercedes,78,1:43:28.437,
,Canada,09 Jun 2019,Lewis  Hamilton  HAM,Mercedes,70,1:29:07.084,
,France,23 Jun 2019,Lewis  Hamilton  HAM,Mercedes,53,1:24:31.198,
,Austria,30 Jun 2019,Max  Verstappen  VER,Red Bull Racing Honda,71,1:22:01.822,
,Great Britain,14 Jul 2019,Lewis  Hamilton  HAM,Mercedes,52,1:21:08.452,
,Germany,28 Jul 2019,Max  Verstappen  VER,Red Bull Racing Honda,64,1:44:31.275,
,Hungary,04 Aug 2019,Lewis  Hamilton  HAM,Mercedes,70,1:35:03.796,
,Belgium,01 Sep 2019,Charles  Leclerc  LEC,Ferrari,44,1:23:45.710,
,Italy,08 Sep 2019,Charles  Leclerc  LEC,Ferrari,53,1:15:26.665,
,Singapore,22 Sep 2019,Sebastian  Vettel  VET,Ferrari,61,1:58:33.667,
,Russia,29 Sep 2019,Lewis  Hamilton  HAM,Mercedes,53,1:33:38.992,
,Japan,13 Oct 2019,Valtteri  Bottas  BOT,Mercedes,52,1:21:46.755,
,Mexico,27 Oct 2019,Lewis  Hamilton  HAM,Mercedes,71,1:36:48.904,
,United States,03 Nov 2019,Valtteri  Bottas  BOT,Mercedes,56,1:33:55.653,
,Brazil,17 Nov 2019,Max  Verstappen  VER,Red Bull Racing Honda,71,1:33:14.678,
,Abu Dhabi,01 Dec 2019,Lewis  Hamilton  HAM,Mercedes,55,1:34:05.715,
