Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,12 Mar 2000,Michael  Schumacher  MSC,Ferrari,58,1:34:01.987,
,Brazil,26 Mar 2000,Michael  Schumacher  MSC,Ferrari,71,1:31:35.271,
,San Marino,09 Apr 2000,Michael  Schumacher  MSC,Ferrari,62,1:31:39.776,
,Great Britain,23 Apr 2000,David  Coulthard  COU,McLaren Mercedes,60,1:28:50.108,
,Spain,07 May 2000,Mika  Hakkinen  HAK,McLaren Mercedes,65,1:33:55.390,
,Europe,21 May 2000,Michael  Schumacher  MSC,Ferrari,67,1:42:00.307,
,Monaco,04 Jun 2000,David  Coulthard  COU,McLaren Mercedes,78,1:49:28.213,
,Canada,18 Jun 2000,Michael  Schumacher  MSC,Ferrari,69,1:41:12.313,
,France,02 Jul 2000,David  Coulthard  COU,McLaren Mercedes,72,1:38:05.538,
,Austria,16 Jul 2000,Mika  Hakkinen  HAK,McLaren Mercedes,71,1:28:15.818,
,Germany,30 Jul 2000,Rubens  Barrichello  BAR,Ferrari,45,1:25:34.418,
,Hungary,13 Aug 2000,Mika  Hakkinen  HAK,McLaren Mercedes,77,1:45:33.869,
,Belgium,27 Aug 2000,Mika  Hakkinen  HAK,McLaren Mercedes,44,1:28:14.494,
,Italy,10 Sep 2000,Michael  Schumacher  MSC,Ferrari,53,1:27:31.638,
,United States,24 Sep 2000,Michael  Schumacher  MSC,Ferrari,73,1:36:30.883,
,Japan,08 Oct 2000,Michael  Schumacher  MSC,Ferrari,53,1:29:53.435,
,Malaysia,22 Oct 2000,Michael  Schumacher  MSC,Ferrari,56,1:35:54.235,
