Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Bahrain,14 Mar 2010,Fernando  Alonso  ALO,Ferrari,49,1:39:20.396,
,Australia,28 Mar 2010,Jenson  Button  BUT,McLaren Mercedes,58,1:33:36.531,
,Malaysia,04 Apr 2010,Sebastian  Vettel  VET,RBR Renault,56,1:33:48.412,
,China,18 Apr 2010,Jenson  Button  BUT,McLaren Mercedes,56,1:46:42.163,
,Spain,09 May 2010,Mark  Webber  WEB,RBR Renault,66,1:35:44.101,
,Monaco,16 May 2010,Mark  Webber  WEB,RBR Renault,78,1:50:13.355,
,Turkey,30 May 2010,Lewis  Hamilton  HAM,McLaren Mercedes,58,1:28:47.620,
,Canada,13 Jun 2010,Lewis  Hamilton  HAM,McLaren Mercedes,70,1:33:53.456,
,Europe,27 Jun 2010,Sebastian  Vettel  VET,RBR Renault,57,1:40:29.571,
,Great Britain,11 Jul 2010,Mark  Webber  WEB,RBR Renault,52,1:24:38.200,
,Germany,25 Jul 2010,Fernando  Alonso  ALO,Ferrari,67,1:27:38.864,
,Hungary,01 Aug 2010,Mark  Webber  WEB,RBR Renault,70,1:41:05.571,
,Belgium,29 Aug 2010,Lewis  Hamilton  HAM,McLaren Mercedes,44,1:29:04.268,
,Italy,12 Sep 2010,Fernando  Alonso  ALO,Ferrari,53,1:16:24.572,
,Singapore,26 Sep 2010,Fernando  Alonso  ALO,Ferrari,61,1:57:53.579,
,Japan,10 Oct 2010,Sebastian  Vettel  VET,RBR Renault,53,1:30:27.323,
,South Korea,24 Oct 2010,Fernando  Alonso  ALO,Ferrari,55,2:48:20.810,
,Brazil,07 Nov 2010,Sebastian  Vettel  VET,RBR Renault,71,1:33:11.803,
,Abu Dhabi,14 Nov 2010,Sebastian  Vettel  VET,RBR Renault,55,1:39:36.837,
