Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,09 Jan 1977,Jody  Scheckter  SCH,Wolf Ford,53,1:40:11.190,
,Brazil,23 Jan 1977,Carlos  Reutemann  REU,Ferrari,40,1:45:07.720,
,South Africa,05 Mar 1977,Niki  Lauda  LAU,Ferrari,78,1:42:21.600,
,USA West,03 Apr 1977,Mario  Andretti  AND,Lotus Ford,80,1:51:35.470,
,Spain,08 May 1977,Mario  Andretti  AND,Lotus Ford,75,1:42:52.220,
,Monaco,22 May 1977,Jody  Scheckter  SCH,Wolf Ford,76,1:57:52.770,
,Belgium,05 Jun 1977,Gunnar  Nilsson  NIL,Lotus Ford,70,1:55:05.710,
,Sweden,19 Jun 1977,Jacques  Laffite  LAF,Ligier Matra,72,1:46:55.520,
,France,03 Jul 1977,Mario  Andretti  AND,Lotus Ford,80,1:39:40.130,
,Great Britain,16 Jul 1977,James  Hunt  HUN,McLaren Ford,68,1:31:46.060,
,Germany,31 Jul 1977,Niki  Lauda  LAU,Ferrari,47,1:31:48.620,
,Austria,14 Aug 1977,Alan Jones  JON,Shadow Ford,54,1:37:16.490,
,Netherlands,28 Aug 1977,Niki  Lauda  LAU,Ferrari,75,1:41:45.930,
,Italy,11 Sep 1977,Mario  Andretti  AND,Lotus Ford,52,1:27:50.300,
,USA East,02 Oct 1977,James  Hunt  HUN,McLaren Ford,59,1:58:23.267,
,Canada,09 Oct 1977,Jody  Scheckter  SCH,Wolf Ford,80,1:40:00.000,
,Japan,23 Oct 1977,James  Hunt  HUN,McLaren Ford,73,1:31:51.680,
