Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Argentina,07 Feb 1960,Bruce  McLaren  MCL,Cooper Climax,80,2:17:49.500,
,Monaco,29 May 1960,Stirling  Moss  MOS,Lotus Climax,100,2:53:45.500,
,Indianapolis 500,30 May 1960,Jim  Rathmann  RAT,Watson Offenhauser,200,3:36:11.360,
,Netherlands,06 Jun 1960,Jack  Brabham  BRA,Cooper Climax,75,2:01:47.200,
,Belgium,19 Jun 1960,Jack  Brabham  BRA,Cooper Climax,36,2:21:37.300,
,France,03 Jul 1960,Jack  Brabham  BRA,Cooper Climax,50,1:57:24.900,
,Great Britain,16 Jul 1960,Jack  Brabham  BRA,Cooper Climax,77,2:04:24.600,
,Portugal,14 Aug 1960,Jack  Brabham  BRA,Cooper Climax,55,2:19:00.030,
,Italy,04 Sep 1960,Phil  Hill  HIL,Ferrari,50,2:21:09.200,
,United States,20 Nov 1960,Stirling  Moss  MOS,Lotus Climax,75,2:28:52.200,
