Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Australia,18 Mar 2007,Kimi  Räikkönen  RAI,Ferrari,58,1:25:28.770,
,Malaysia,08 Apr 2007,Fernando  Alonso  ALO,McLaren Mercedes,56,1:32:14.930,
,Bahrain,15 Apr 2007,Felipe  Massa  MAS,Ferrari,57,1:33:27.515,
,Spain,13 May 2007,Felipe  Massa  MAS,Ferrari,65,1:31:36.230,
,Monaco,27 May 2007,Fernando  Alonso  ALO,McLaren Mercedes,78,1:40:29.329,
,Canada,10 Jun 2007,Lewis  Hamilton  HAM,McLaren Mercedes,70,1:44:11.292,
,United States,17 Jun 2007,Lewis  Hamilton  HAM,McLaren Mercedes,73,1:31:09.965,
,France,01 Jul 2007,Kimi  Räikkönen  RAI,Ferrari,70,1:30:54.200,
,Great Britain,08 Jul 2007,Kimi  Räikkönen  RAI,Ferrari,59,1:21:43.074,
,Europe,22 Jul 2007,Fernando  Alonso  ALO,McLaren Mercedes,60,2:06:26.358,
,Hungary,05 Aug 2007,Lewis  Hamilton  HAM,McLaren Mercedes,70,1:35:52.991,
,Turkey,26 Aug 2007,Felipe  Massa  MAS,Ferrari,58,1:26:42.161,
,Italy,09 Sep 2007,Fernando  Alonso  ALO,McLaren Mercedes,53,1:18:37.806,
,Belgium,16 Sep 2007,Kimi  Räikkönen  RAI,Ferrari,44,1:20:39.066,
,Japan,30 Sep 2007,Lewis  Hamilton  HAM,McLaren Mercedes,67,2:00:34.579,
,China,07 Oct 2007,Kimi  Räikkönen  RAI,Ferrari,56,1:37:58.395,
,Brazil,21 Oct 2007,Kimi  Räikkönen  RAI,Ferrari,71,1:28:15.270,
