Unnamed: 0,Grand Prix,Date,Winner,Car,Laps,Time,Unnamed: 7
,Brazil,25 Jan 1976,Niki  Lauda  LAU,Ferrari,40,1:45:16.780,
,South Africa,06 Mar 1976,Niki  Lauda  LAU,Ferrari,78,1:42:18.400,
,USA West,28 Mar 1976,Clay  Regazzoni  REG,Ferrari,80,1:53:18.471,
,Spain,02 May 1976,James  Hunt  HUN,McLaren Ford,75,1:42:20.430,
,Belgium,16 May 1976,Niki  Lauda  LAU,Ferrari,70,1:42:53.230,
,Monaco,30 May 1976,Niki  Lauda  LAU,Ferrari,78,1:59:51.470,
,Sweden,13 Jun 1976,Jody  Scheckter  SCH,Tyrrell Ford,72,1:46:53.729,
,France,04 Jul 1976,James  Hunt  HUN,McLaren Ford,54,1:40:58.600,
,Great Britain,18 Jul 1976,Niki  Lauda  LAU,Ferrari,76,1:44:19.660,
,Germany,01 Aug 1976,James  Hunt  HUN,McLaren Ford,14,1:41:42.700,
,Austria,15 Aug 1976,John  Watson  WAT,Penske Ford,54,1:30:07.860,
,Netherlands,29 Aug 1976,James  Hunt  HUN,McLaren Ford,75,1:44:52.090,
,Italy,12 Sep 1976,Ronnie  Peterson  PET,March Ford,52,1:30:35.600,
,Canada,03 Oct 1976,James  Hunt  HUN,McLaren Ford,80,1:40:09.626,
,USA East,10 Oct 1976,James  Hunt  HUN,McLaren Ford,59,1:42:40.741,
,Japan,24 Oct 1976,Mario  Andretti  AND,Lotus Ford,73,1:43:58.860,
