Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Brazil,Michael  Schumacher  MSC,Benetton Ford,1:18.455,
,Pacific,Michael  Schumacher  MSC,Benetton Ford,1:14.023,
,San Marino,Damon  Hill  HIL,Williams Renault,1:24.335,
,Monaco,Michael  Schumacher  MSC,Benetton Ford,1:21.076,
,Spain,Michael  Schumacher  MSC,Benetton Ford,1:25.155,
,Canada,Michael  Schumacher  MSC,Benetton Ford,1:28.927,
,France,Damon  Hill  HIL,Williams Renault,1:19.678,
,Great Britain,Damon  Hill  HIL,Williams Renault,1:27.100,
,Germany,David  Coulthard  COU,Williams Renault,1:46.211,
,Hungary,Michael  Schumacher  MSC,Benetton Ford,1:20.881,
,Belgium,Damon  Hill  HIL,Williams Renault,1:57.117,
,Italy,Damon  Hill  HIL,Williams Renault,1:25.930,
,Portugal,David  Coulthard  COU,Williams Renault,1:22.446,
,Europe,Michael  Schumacher  MSC,Benetton Ford,1:25.040,
,Japan,Damon  Hill  HIL,Williams Renault,1:56.597,
,Australia,Michael  Schumacher  MSC,Benetton Ford,1:17.140,
