Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Heikki  Kovalainen  KOV,McLaren Mercedes,1:27.418,
,Malaysia,Nick  Heidfeld  HEI,Sauber BMW,1:35.366,
,Bahrain,Heikki  Kovalainen  KOV,McLaren Mercedes,1:33.193,
,Spain,Kimi  Räikkönen  RAI,Ferrari,1:21.670,
,Turkey,Kimi  Räikkönen  RAI,Ferrari,1:26.506,
,Monaco,Kimi  Räikkönen  RAI,Ferrari,1:16.689,
,Canada,Kimi  Räikkönen  RAI,Ferrari,1:17.387,
,France,Kimi  Räikkönen  RAI,Ferrari,1:16.630,
,Great Britain,Kimi  Räikkönen  RAI,Ferrari,1:32.150,
,Germany,Nick  Heidfeld  HEI,Sauber BMW,1:15.987,
,Hungary,Kimi  Räikkönen  RAI,Ferrari,1:21.195,
,Europe,Felipe  Massa  MAS,Ferrari,1:38.708,
,Belgium,Kimi  Räikkönen  RAI,Ferrari,1:47.930,
,Italy,Kimi  Räikkönen  RAI,Ferrari,1:28.047,
,Singapore,Kimi  Räikkönen  RAI,Ferrari,1:45.599,
,Japan,Felipe  Massa  MAS,Ferrari,1:18.426,
,China,Lewis  Hamilton  HAM,McLaren Mercedes,1:36.325,
,Brazil,Felipe  Massa  MAS,Ferrari,1:13.736,
