Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jenson  Button  BUT,GBR,Brawn Mercedes,95.0,
,2,Sebastian  Vettel  VET,GER,RBR Renault,84.0,
,3,Rubens  Barrichello  BAR,BRA,Brawn Mercedes,77.0,
,4,Mark  Webber  WEB,AUS,RBR Renault,69.5,
,5,Lewis  Hamilton  HAM,GBR,McLaren Mercedes,49.0,
,6,Kimi  Räikkönen  RAI,FIN,Ferrari,48.0,
,7,Nico  Rosberg  ROS,GER,Williams Toyota,34.5,
,8,Jarno  Trulli  TRU,ITA,Toyota,32.5,
,9,Fernando  Alonso  ALO,ESP,Renault,26.0,
,10,Timo  Glock  GLO,GER,Toyota,24.0,
,11,Felipe  Massa  MAS,BRA,Ferrari,22.0,
,12,Heikki  Kovalainen  KOV,FIN,McLaren Mercedes,22.0,
,13,Nick  Heidfeld  HEI,GER,Sauber BMW,19.0,
,14,Robert  Kubica  KUB,POL,Sauber BMW,17.0,
,15,Giancarlo  Fisichella  FIS,ITA,Ferrari,8.0,
,16,Sebastien  Buemi  BUE,SUI,STR Ferrari,6.0,
,17,Adrian  Sutil  SUT,GER,Force India Mercedes,5.0,
,18,Kamui  Kobayashi  KOB,JPN,Toyota,3.0,
,19,Sebastien  Bourdais  BOU,FRA,STR Ferrari,2.0,
,20,Kazuki  Nakajima  NAK,JPN,Williams Toyota,0.0,
,21,Nelson  Piquet  PIQ,BRA,Renault,0.0,
,22,Vitantonio  Liuzzi  LIU,ITA,Force India Mercedes,0.0,
,23,Romain  Grosjean  GRO,FRA,Renault,0.0,
,24,Jaime  Alguersuari  ALG,ESP,STR Ferrari,0.0,
,25,Luca  Badoer  BAD,ITA,Ferrari,0.0,
